Action Name,TimeStamp
addMoneyToTheStore,2021-05-24 21:01:15.193
addProducers,2021-05-24 21:01:58.052
addProducers,2021-05-24 21:02:33.152
showProducers,2021-05-24 21:02:40.13
addFood,2021-05-24 21:03:09.354
showProducers,2021-05-24 21:03:12.603
addFood,2021-05-24 21:03:58.891
addClient,2021-05-24 21:04:21.66
showClient,2021-05-24 21:04:34.024
showFood,2021-05-24 21:04:44.137
showFood,2021-05-24 21:05:14.46
addOrder,2021-05-24 21:05:21.817
ShowStoreMoney,2021-05-24 21:05:29.141
showOrders,2021-05-24 21:05:38.078
showProducers,2021-05-24 21:06:43.549
